id,title,lastprice,image
g.5693069,"Samsung Galaxy S7 EU (32GB, Black Onyx, 5.10"", Single SIM, 12Mpx, 4G)",0.0,https://static.digitecgalaxus.ch/Files/6/9/5/6/2/5/5/galaxy-s7_gallery_front_black.png?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.6601807,"Fairphone 2 (32GB, indigo, 5"", Hybrid Dual SIM, 12Mpx, 4G)",353.6,https://static.digitecgalaxus.ch/Files/8/9/1/0/6/1/0/perspective_indigo.png?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.7537399,"Xiaomi Mi A1 (32GB, Black, 5.50"", Hybrid Dual SIM, 12Mpx, 4G)",0.0,https://static.digitecgalaxus.ch/Files/1/1/0/2/2/0/3/0/Mi_A1_okostelefon_4_64GB_fekete_1422_2-1200x1200.png?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.7905172,"Samsung Galaxy S9 EU (64GB, Lilac Purple, 5.80"", Hybrid Dual SIM, 12Mpx, 4G)",0.0,https://static.digitecgalaxus.ch/Files/1/2/0/2/8/2/7/1/Star9SMALLLILA-Test-Paint.png?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.7830026,"Nokia 6.1 (2018) (32GB, black copper, 5.50"", Hybrid Dual SIM, 16Mpx, 4G)",0.0,https://static.digitecgalaxus.ch/Files/1/2/3/0/2/2/0/6/Large-HMD_Rational_Plate2_BlackCopper_Front_Final_HighRes_21122017_ROW.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.8938972,"Xiaomi Mi A2 (64GB, Black, 5.99"", Dual SIM, 12Mpx, 4G)",0.0,https://static.digitecgalaxus.ch/Files/1/8/1/6/1/8/2/0/s-l1000.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.9452021,"Motorola One (64GB, White, 5.90"", Dual SIM + SD, 13Mpx, 4G)",0.0,https://static.digitecgalaxus.ch/Files/1/8/4/2/3/0/7/5/motorola-moto-one-dual-sim-64gb-weiss-smartphone.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.10408830,"Samsung Galaxy S10 (128GB, Prism Black, 6.10"", Hybrid Dual SIM, 16Mpx, 4G)",559.0,https://static.digitecgalaxus.ch/Files/1/9/8/1/1/5/9/4/Samsung_S10_black.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.11548916,"Fairphone 3 (64GB, Dark Translucent, 5.65"", Dual SIM + SD, 12Mpx, 4G)",399.0,https://static.digitecgalaxus.ch/Files/2/8/3/6/5/1/6/5/Fairphone3_Digitec_Galaxus_Front_Back.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.5821200,"iRobot Roomba 980",0.0,https://static.digitecgalaxus.ch/Files/8/2/8/7/0/1/7/roomba_980_1.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.5971526,"iRobot Roomba 960",0.0,https://static.digitecgalaxus.ch/Files/3/1/2/4/5/7/1/6/1_Hauptbild_Roomba_960.jpeg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.10397318,"iRobot Roomba i7+",849.0,https://static.digitecgalaxus.ch/Files/3/8/0/6/9/3/6/9/i7-_Charcoal_CleanBase_Photo_Studio_LeftStanding_Hero_Phone.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.10397320,"iRobot Roomba i7158",539.0,https://static.digitecgalaxus.ch/Files/3/8/0/6/9/5/7/7/i7_Charcoal_Photo_Studio_FrontStanding_Hero_Phone.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.5682382,"iRobot Braava 390 T",188.0,https://static.digitecgalaxus.ch/Files/2/6/8/5/1/9/9/9/71kAEstDzyL._SL1500_.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.11301570,"iRobot Braava Jet m6",494.0,https://static.digitecgalaxus.ch/Files/3/8/0/7/0/5/5/6/m6_Silver_Photo_Studio_FrontFacingHero_SingleUse_WetPad_Phone.jpg?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600
g.9352154,"Varta Recharge Accu Endless (Battery, 4pcs., AA battery, 1900mAh)",18.3,https://static.digitecgalaxus.ch/Files/3/1/5/5/6/4/8/6/56676101404_4008496928217_0.png?impolicy=PictureComponent&resizeWidth=600&resizeHeight=600